"Contra Costa, CA",1041274,38.5,260505,365244,126828,6605,1015571,230,26357,1676,304359,19,25,2212,568,2584,371,408,1787,1270,3270,365,2786,155212,522374,11.2,4597,76,7641,19821,7297,58680,166958,3948,6095,341140,356247,15.4,255560,265280,14319,13224,11831,13479,12876,12901,12919,13467,11308,25022,34902,50529,39310,29117,31627,37505,15805,11292,75084,9.5,1049025,100209,1465.2,511526,537499,500923,97161,6122,151469
"Del Norte, CA",29114,39.1,6138,10432,3890,6800,28729,5,180,29,6420,18,1,55,11,65,11,12,24,24,32,5,71,0,11695,13.3,114,0,208,302,70,36964,4575,60,55,11398,9446,16.5,5093,6379,681,1242,660,833,623,583,395,531,348,793,953,982,618,197,146,165,13101,1129,38252,23.1,28610,1103,28.4,15907,12703,18513,993,2244,965
"El Dorado, CA",178447,43.6,41175,52897,21717,10161,175941,43,2180,120,47090,23,9,739,170,540,50,66,241,243,556,58,464,83091,90822,12.6,451,8,1086,1750,244,36357,28900,667,1039,62000,60604,16.8,21875,49718,2424,2197,2038,2594,2524,2661,2461,2596,2708,5112,7435,9126,7548,4094,4993,4868,16659,1672,68778,7.6,181058,24759,106,90571,90487,144689,1409,2070,6297
"Fresno, CA",915267,30.6,277507,355616,89528,7927,890750,145,9973,2248,398560,122,25,1529,613,2444,619,228,1063,715,1553,163,2139,105784,438606,16.8,4287,65,7688,23536,6025,41611,193838,3771,5235,288096,279908,18.5,468070,214445,20039,20197,17930,18089,16339,15871,14361,13542,12018,22491,26153,33140,19987,11256,9468,7644,13995,32795,45219,21.5,930450,131043,156.2,464811,465639,304522,49523,15649,89357
"Glenn, CA",28299,35.3,7865,9434,3548,4823,27891,8,363,45,7348,15,6,53,30,72,30,1,29,21,33,2,39,1319,12727,16.3,62,1,193,355,55,36755,5554,0,126,9995,9113,23,10539,7114,648,685,578,877,695,557,593,583,517,556,1100,1066,533,274,139,157,14007,771,41904,15.8,28122,1669,21.4,14191,13931,15717,231,619,722
"Humboldt, CA",129623,37.1,27061,51715,16832,2458,129003,30,1530,191,23381,66,6,366,140,633,84,54,167,170,257,36,453,27326,60854,11.5,459,3,953,2288,421,34288,17475,481,1015,44143,44529,18.6,13211,31079,4386,4859,4097,4128,3327,2970,3008,2271,2608,3871,4869,5242,3120,1464,1121,1179,14175,3479,35985,19,134623,8105,37.7,67595,67028,103958,1505,7726,2944
"Imperial, CA",166874,31.9,51098,66178,17578,5290,160034,20,1671,102,17870,29,8,155,57,509,180,28,117,110,164,21,269,1440,77099,29.7,474,8,1948,3193,1087,39709,36268,348,495,53342,47321,19,140271,39170,4379,4237,4081,2962,3345,2770,2510,1895,1921,3465,4195,4495,2856,1289,1240,765,13013,6136,37846,22.8,174528,32167,41.8,89646,84882,23927,5773,3059,2843
"Inyo, CA",17293,45.6,3900,5230,2759,951,17438,6,318,8,2177,2,10,55,15,103,12,14,21,23,36,3,57,6776,9558,10,85,0,110,237,30,35498,3059,54,70,6317,6562,21.6,3597,4833,387,420,563,587,408,418,629,492,269,563,751,872,769,285,238,150,14848,283,44090,12.5,18546,601,1.8,9354,9192,12296,109,2121,243
"Kern, CA",807407,30.7,254081,324349,72666,4626,780953,95,5854,1656,256978,66,47,1140,379,1897,463,151,633,557,1110,164,1506,48614,368546,15.9,4631,57,9252,17422,5233,45612,174132,2220,3408,267370,238823,17.8,413033,191739,16266,17798,15326,15138,14649,12721,12668,12528,10769,19239,22934,27840,17562,9389,8373,6077,14032,24629,46938,22.2,839631,177986,103.3,433108,406523,323794,48921,12676,34846
"Kings, CA",148764,31.1,42548,65198,11466,5465,146696,15,977,265,39838,27,5,133,65,318,77,22,88,86,100,19,232,10742,61350,16.5,614,7,873,2266,497,44516,28354,444,431,59836,39380,20.5,77866,31939,2252,2273,2503,2420,2509,2673,2431,1918,1980,3883,3874,4436,2950,1541,1064,556,13408,4413,44102,19.5,152982,23521,110.1,86344,66638,53879,11014,2562,5620
"Lake, CA",65279,45,13672,18673,10929,9182,64756,14,626,46,8943,7,11,161,39,181,20,9,55,60,69,9,159,12874,25303,18.1,298,5,666,891,214,33131,9663,171,229,23356,24113,16.2,11088,16255,1874,2378,1996,1745,1418,1498,1350,1282,1127,2569,2352,2313,1683,778,495,302,13933,2239,36895,22.1,64665,6356,51.5,32469,32196,47938,1232,2049,724
"Lassen, CA",34473,37.1,6293,15568,3116,1383,34428,5,154,13,2352,13,6,52,2,87,13,10,24,25,29,5,61,0,13755,14.2,121,1,131,302,16,40919,5022,6,94,17579,8425,14.8,6117,6800,574,650,711,587,458,611,502,615,575,937,1122,1349,684,423,295,195,13295,925,46377,18.2,34895,1067,7.7,22416,12479,23270,2834,1234,356
"Los Angeles, CA",9848011,34.8,2402208,3968595,1042989,14027,9785295,1737,243360,7260,1689661,102,238,13495,13681,28479,6547,9072,12856,12674,30796,3296,28386,6772852,4879481,12.6,59788,806,54532,148579,56571,54612,1631988,57256,78007,3240828,3293613,23.1,4687889,2194080,200745,186309,169918,168525,162205,155354,147379,142896,129433,249084,317247,377934,256602,160616,168883,185136,14190,162381,54375,16,9818605,299267,2419.6,4839654,4978951,2728321,856874,72828,1346865
"Madera, CA",148632,33,42849,55630,15419,6783,144794,21,961,192,24379,30,10,269,102,348,85,17,92,84,112,27,218,2383,66960,15.6,744,10,1043,1706,508,40135,29409,201,396,46882,51295,23.6,80992,34093,2166,2925,2347,2620,3057,2494,2458,2493,2144,3857,3732,4673,3071,1609,1142,1184,14999,4005,42769,20.6,150865,27756,70.6,72682,78183,57380,5629,4136,2802
