"Lee, FL",15624,0.35,9083,0.297,8816,0.28800000000000003,8642,0.282,2763,0.09,
"Levy, FL",3745,0.5760000000000001,1275,0.196,994,0.153,256,0.039,1570,0.5,
"Liberty, FL",114,0.317,68,0.18899999999999997,7,0.019,392,0.47100000000000003,316,0.38,
"Madison, FL",266,0.16399999999999998,54,0.033,1542,0.624,741,0.3,26320,0.47200000000000003,
"Manatee, FL",4582,0.08199999999999999,18116,0.625,10165,0.35100000000000003,31370,0.5479999999999999,11176,0.195,
"Marion, FL",18220,0.627,9892,0.341,16065,0.511,6755,0.215,3906,0.124,
"Martin, FL",4101,0.376,111898,0.627,40156,0.225,16170,0.091,5194,0.028999999999999998,
"Monroe, FL",6030,0.539,2736,0.245,1058,0.095,978,0.087,4830,0.5529999999999999,
"Nassau, FL",3920,0.218,3400,0.18899999999999997,1050,0.057999999999999996,2910,0.562,2060,0.39799999999999996,
"Okeechobee, FL",574,0.153,149,0.04,1150,0.552,784,0.376,41097,0.39799999999999996,
"Orange, FL",7394,0.07200000000000001,66654,0.638,36639,0.35100000000000003,10345,0.469,5734,0.26,
"Osceola, FL",16512,0.682,7273,0.3,66065,0.521,30836,0.243,15311,0.121,
"Palm Beach, FL",39314,0.272,33536,0.51,13836,0.21,12409,0.18899999999999997,3830,0.057999999999999996,
"Pinellas, FL",61133,0.46399999999999997,29966,0.228,21984,0.16699999999999998,10973,0.083,63699,0.603,
"Polk, FL",18790,0.254,15548,0.21,3835,0.052000000000000005,29328,0.63,15473,0.33299999999999996,
"Putnam, FL",1553,0.174,290,0.032,3182,0.494,2747,0.42700000000000005,16044,0.46399999999999997,
"Santa Rosa, FL",1956,0.057,3938,0.49200000000000005,3602,0.45,34593,0.473,17870,0.244,
"Sarasota, FL",25881,0.611,15776,0.373,25763,0.41600000000000004,17843,0.28800000000000003,11942,0.193,
"Seminole, FL",15100,0.39899999999999997,17769,0.54,7716,0.23399999999999999,4417,0.134,2375,0.07200000000000001,
"Suwannee, FL",2844,0.49700000000000005,1645,0.287,858,0.15,198,0.035,1550,0.44299999999999995,
"Taylor, FL",551,0.245,358,0.159,61,0.027000000000000003,983,0.45899999999999996,907,0.424,
"Union, FL",232,0.16899999999999998,29,0.021,472,0.516,336,0.36700000000000005,34167,0.5329999999999999,
"Volusia, FL",3967,0.062,26276,0.602,16170,0.371,1664,0.431,1319,0.341,
"Wakulla, FL",1659,0.489,1424,0.42,6650,0.518,2548,0.19899999999999998,2403,0.187,
"Walton, FL",1361,0.449,1739,0.452,1251,0.325,615,0.16,112,0.028999999999999998,
"Appling, GA",1290,0.415,914,0.294,462,0.14800000000000002,304,0.098,83,0.027000000000000003,
"Atkinson, GA",619,0.659,183,0.195,73,0.078,45,0.048,14,0.015,
"Bacon, GA",904,0.5379999999999999,341,0.203,246,0.146,110,0.065,57,0.034,
"Baker, GA",262,0.602,87,0.2,42,0.09699999999999999,25,0.057,8,0.018000000000000002,
"Baldwin, GA",2069,0.45799999999999996,961,0.213,880,0.195,350,0.077,184,0.040999999999999995,
"Banks, GA",1806,0.489,1050,0.284,443,0.12,251,0.068,84,0.023,
"Barrow, GA",4653,0.408,3470,0.304,2049,0.18,742,0.065,345,0.03,
"Bartow, GA",8281,0.462,4504,0.251,3259,0.182,1130,0.063,549,0.031,
"Ben Hill, GA",1020,0.5589999999999999,315,0.17300000000000001,209,0.114,195,0.107,60,0.033,
"Berrien, GA",1563,0.552,718,0.254,241,0.085,179,0.063,66,0.023,
"Bibb, GA",5942,0.38799999999999996,3519,0.22899999999999998,3401,0.222,1165,0.076,1110,0.07200000000000001,
"Bleckley, GA",935,0.436,532,0.248,412,0.192,145,0.068,87,0.040999999999999995,
"Brantley, GA",1161,0.488,604,0.254,319,0.134,191,0.08,48,0.02,
"Brooks, GA",1009,0.52,473,0.244,265,0.13699999999999998,116,0.06,52,0.027000000000000003,
"Bryan, GA",2214,0.391,1476,0.261,1294,0.22899999999999998,334,0.059000000000000004,274,0.048,
"Bulloch, GA",3111,0.377,2147,0.26,1764,0.214,651,0.079,447,0.054000000000000006,
"Burke, GA",1181,0.451,803,0.307,375,0.14300000000000002,162,0.062,56,0.021,
"Butts, GA",1884,0.488,1002,0.259,597,0.155,245,0.063,98,0.025,
"Calhoun, GA",227,0.508,104,0.233,69,0.154,29,0.065,15,0.034,
"Camden, GA",3065,0.485,1227,0.19399999999999998,1180,0.187,453,0.07200000000000001,296,0.047,
"Candler, GA",897,0.49,322,0.17600000000000002,321,0.175,149,0.081,76,0.040999999999999995,
"Carroll, GA",7495,0.41700000000000004,4997,0.278,3375,0.188,1261,0.07,650,0.036000000000000004,
"Catoosa, GA",4449,0.402,2524,0.228,2430,0.21899999999999997,1101,0.099,460,0.042,
"Charlton, GA",602,0.473,319,0.251,208,0.16399999999999998,87,0.068,20,0.016,
"Chatham, GA",10726,0.35,7845,0.256,7049,0.23,2981,0.09699999999999999,1522,0.05,
"Chattahoochee, GA",175,0.545,89,0.27699999999999997,30,0.09300000000000001,14,0.044000000000000004,8,0.025,
"Chattooga, GA",1674,0.517,635,0.196,523,0.161,292,0.09,74,0.023,
"Cherokee, GA",18460,0.36700000000000005,13465,0.268,12886,0.256,2522,0.05,2472,0.049,
"Clarke, GA",3105,0.35200000000000004,2357,0.267,1820,0.20600000000000002,876,0.099,497,0.055999999999999994,
"Clay, GA",179,0.517,64,0.185,57,0.165,23,0.066,15,0.043,
