 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"Kenedy, TX",369,41.3,102,130,44,580,336,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,237,5.5,3,0,3,4,2,36335,88,0,0,111,78,49.5,319,104,57,9,0,3,9,0,0,3,15,21,21,3,0,0,0,0,6665,18,32336,15.9,416,2,0.3,212,204,86,5,6,1
"Kent, TX",703,48.4,185,183,182,602,703,1,15,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,441,5.9,7,0,2,9,0,10010,143,0,0,293,274,31.7,120,209,31,23,16,30,49,33,26,7,9,29,42,57,17,3,6,9,14710,7,37593,12.2,808,-51,0.9,392,416,669,8,7,0
"Kerr, TX",48381,47.3,10014,13347,12271,1784,47410,19,1148,41,8672,4,4,174,39,222,21,17,75,77,146,18,169,7432,23189,6.2,117,5,274,823,66,32005,6906,32,171,17165,19073,27,11895,13549,1134,1058,1501,1247,1140,1213,1329,1023,941,1513,1768,2143,868,669,591,559,15466,1627,43648,14.5,49625,5972,45,24068,25557,35851,884,355,373
"Kimble, TX",4539,48.6,939,1139,980,1492,4485,2,67,1,127,0,3,20,9,40,3,2,6,5,10,0,10,50,2055,6.5,18,0,20,37,0,18271,670,20,6,1678,1826,33.2,1077,1307,136,162,51,122,131,98,141,127,69,158,162,164,88,53,132,56,15325,111,36388,18.5,4607,139,3.7,2281,2326,3450,18,38,19
"King, TX",286,43.4,68,85,23,379,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,6.7,0,0,1,2,0,17413,95,0,0,105,93,25.8,39,88,0,0,0,12,2,5,5,15,16,4,9,8,0,0,7,11,16127,8,50014,15.4,286,-70,0.3,141,145,242,0,3,0
"Kinney, TX",3274,45.3,724,1062,896,905,3245,1,21,0,0,2,1,2,0,10,0,0,0,1,0,0,2,0,1497,9,4,0,12,16,0,22837,594,0,0,1270,1296,28.6,2004,927,123,230,175,117,44,117,21,13,65,101,41,72,40,12,56,6,13453,189,34777,20.7,3598,219,2.6,1955,1643,1496,53,26,10
"Kleberg, TX",30647,29,8050,13610,3563,1183,30637,10,304,19,2154,4,5,38,17,99,15,8,54,32,36,5,66,0,17278,7,224,1,468,1283,37,35274,5494,502,440,8587,9313,25.9,22495,7462,2180,674,733,563,928,463,456,394,448,1023,893,1256,457,124,226,225,11494,1842,37450,22.3,32061,512,36.4,16337,15724,7479,1201,196,751
"Knox, TX",3322,41.6,942,1054,726,854,3465,2,67,0,0,5,3,10,0,16,8,2,6,1,2,0,12,0,1813,5.8,12,0,7,25,3,28206,763,18,0,1323,1363,29,1101,996,288,171,87,113,119,135,85,52,89,112,114,124,70,21,51,39,12837,282,31382,23.1,3719,-534,4.4,1835,1884,2347,214,21,7
"Lamar, TX",48965,39.7,12095,16332,7930,1646,48993,15,871,46,3626,2,4,108,61,207,51,20,77,46,61,6,172,1281,23910,9,199,1,538,1269,65,32109,9034,81,184,16581,18158,19.8,3223,13619,2038,1391,1228,1354,1538,1408,1144,913,648,1571,1623,1840,1138,430,364,299,13467,2733,36028,18.6,49793,1294,54.9,24044,25749,37891,6703,700,311
"Lamb, TX",13162,36.3,4092,4260,2200,1037,13741,14,281,0,0,4,6,22,8,44,25,2,29,1,20,0,25,0,6939,7.1,49,1,81,194,16,30071,3147,45,6,4499,4974,28.4,7231,3699,317,465,431,469,379,399,296,351,179,313,501,417,281,70,64,51,12831,641,32293,20.5,13977,-732,13.8,6964,7013,6020,598,129,20
"Lampasas, TX",20915,41,4876,6031,3370,1858,20471,8,240,14,2030,2,3,102,20,55,9,4,22,14,36,0,23,0,10841,6.2,29,0,79,214,15,25594,3664,20,77,7112,7470,28.5,3443,5475,522,313,405,365,433,487,549,312,412,474,858,822,323,179,99,153,13590,745,45485,17.9,19677,1915,27.6,9705,9972,14836,632,177,201
"La Salle, TX",5810,30,1494,3115,712,1115,5891,1,60,6,283,3,1,4,0,18,4,2,3,5,1,0,11,0,3152,7.9,4,0,40,68,0,30768,1197,0,0,2399,1823,18.8,5920,1354,210,119,106,222,121,144,90,127,40,127,155,122,13,32,53,25,9466,406,28103,31.6,6886,1020,4.6,4089,2797,894,34,40,7
"Lavaca, TX",18539,45.2,4448,5123,4011,2128,18632,9,465,9,580,0,1,54,34,83,24,9,24,10,34,3,43,96,10084,6.6,27,0,56,141,7,24862,2042,12,47,6699,7152,23.6,3077,5408,439,687,469,666,537,559,358,403,360,726,800,835,351,231,119,179,14977,543,38795,12.6,19263,53,19.9,9416,9847,14674,1301,60,56
"Lee, TX",16231,39.8,4345,5037,2575,2595,16203,10,369,20,1245,1,5,57,19,65,16,5,25,13,21,3,27,294,9290,6.7,51,0,64,232,8,27802,3339,0,53,5693,5816,27.6,3724,4445,445,344,274,417,447,326,365,304,302,350,770,655,467,168,80,146,14592,344,46757,10.7,16612,955,26.4,8410,8202,10798,1807,104,55
"Leon, TX",16923,45.7,3749,4472,3510,2019,16518,9,395,0,0,2,7,42,21,65,9,11,18,16,28,1,15,0,8169,7.8,26,0,45,50,11,31930,3020,9,19,6072,6511,28.5,2260,4881,496,500,805,584,313,345,330,270,237,498,561,766,302,252,114,107,14941,696,38775,16.9,16801,1466,15.7,8385,8416,13078,1202,71,81
"Liberty, TX",75779,36.4,19367,27436,8403,1999,74941,15,787,269,27699,13,6,92,37,195,37,18,60,38,86,5,107,310,32067,11,306,4,686,1608,261,34915,14505,35,187,26021,27268,25.7,13602,18522,1920,1536,1787,1660,1359,1498,1391,1049,1464,2047,2488,3082,1472,611,605,316,14338,2984,45308,17.9,75643,5489,65.3,37190,38453,52321,8202,430,348
"Limestone, TX",22287,39,5517,7802,3454,1566,22367,10,253,4,599,0,7,20,15,89,15,7,33,7,24,0,46,0,11725,6.8,95,1,184,500,23,29024,4045,37,25,9028,7703,24,4465,5900,793,552,621,339,582,505,540,359,330,639,815,907,433,161,104,17,13913,496,34597,19.9,23384,1333,25.8,12122,11262,14433,4103,121,90
"Lipscomb, TX",3094,37,911,1035,463,727,2994,3,104,2,351,0,1,11,2,16,9,4,12,0,6,0,2,0,1696,5.6,3,0,9,4,0,35607,805,2,13,1068,1072,35.8,1007,887,63,110,90,42,44,60,57,80,63,126,133,182,61,27,16,38,12440,77,53348,12.2,3302,245,3.5,1662,1640,2213,25,37,10
"Live Oak, TX",11046,43.8,2354,3596,2018,1491,11271,4,211,8,518,0,2,31,6,44,8,4,14,8,20,0,10,436,5310,6.7,8,0,48,38,6,34329,1724,0,61,4832,3687,25.3,4060,2952,398,235,357,406,207,209,231,329,193,364,347,502,263,59,45,56,13342,370,40636,21.2,11531,-778,11.1,6195,5336,6805,502,92,57
"Llano, TX",18274,55,3077,3935,5382,1885,18150,12,344,197,38187,0,4,74,16,70,6,7,33,24,34,1,33,703,8344,7.5,25,0,115,284,13,28281,1961,31,22,7004,7900,23.1,1542,5755,527,688,610,660,593,493,574,397,404,615,917,902,552,123,220,354,16296,429,41431,13.2,19301,2257,20.7,9329,9972,17303,112,118,77
"Loving, TX",45,52.7,9,24,3,131,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,12,0,23487,0,0,0,41,36,33.9,18,26,0,0,0,0,4,0,0,0,6,2,0,20,6,3,0,0,0,0,49903,11.1,82,15,0.1,46,36,60,0,4,0
"Lubbock, TX",270550,30.4,67862,118542,30779,1199,262985,102,5627,1451,219524,12,13,614,244,1010,194,105,550,390,601,62,840,16999,143869,6.2,2256,8,3581,9388,679,36042,45686,2653,3060,78440,85607,26.4,88924,66127,11483,7372,7238,6037,6393,6461,5672,5335,4958,8343,9233,10510,5520,2745,2420,2518,14752,10938,39159,20.1,278831,36203,311.3,137786,141045,159815,20952,2040,5753
"Lynn, TX",5674,39.4,1645,1722,878,885,5841,4,144,1,51,3,3,4,3,14,2,5,13,2,6,0,7,0,2818,7.1,6,0,25,49,2,40805,1294,3,3,2001,2136,29.6,2743,1639,175,110,201,177,214,169,82,71,110,183,258,295,70,32,58,36,14135,309,33097,19.3,5915,-635,6.6,2947,2968,2984,127,72,8
"McCulloch, TX",7980,43.5,2039,2252,1433,1329,7893,3,164,0,0,0,2,22,15,42,7,4,15,6,17,0,20,0,3955,7.1,21,0,54,129,8,27115,1651,0,0,2775,3112,25.8,2476,2272,358,269,426,163,248,140,147,208,159,136,264,376,125,69,104,71,12140,435,35033,18.6,8283,78,7.8,4057,4226,5568,160,55,29
"McLennan, TX",233378,32.7,59745,90676,28536,2062,228369,58,3626,602,82961,4,28,428,245,835,134,93,360,226,355,54,507,13313,115706,7.4,1414,14,2792,7431,545,38119,42149,1123,1461,70133,74094,26.2,55471,57663,10192,5810,5692,5445,4594,4756,4401,4248,3586,6637,7989,7845,4912,2278,1716,1750,14517,8595,38963,22.8,234906,21389,226.5,114169,120737,138295,34767,1473,3220
"McMullen, TX",810,49.8,119,187,190,1051,938,1,37,0,0,0,0,0,0,2,3,0,2,0,1,0,1,0,373,6.7,1,0,0,0,0,14972,165,0,7,375,330,31.8,261,209,8,29,37,31,27,11,23,28,14,40,23,22,19,11,6,14,14015,17,40809,13.2,707,-144,0.6,367,340,432,8,0,3
"Madison, TX",13333,34.5,3000,5736,1888,2099,13202,4,193,19,491,4,2,15,6,35,8,3,16,11,17,0,14,0,5638,7.9,42,1,75,181,19,34201,2567,20,0,5821,3751,28.8,2688,3007,271,335,411,455,249,164,84,294,122,224,426,293,148,89,85,42,15366,393,32873,25.9,13664,724,29.3,7873,5791,8030,2719,68,79
"Marion, TX",10306,48.4,2009,2737,2187,2027,10570,2,71,5,322,1,5,7,11,31,7,3,9,5,6,1,13,0,5166,10.3,34,2,103,139,9,24226,1235,0,3,3994,4444,23.1,328,2944,700,576,512,272,414,266,290,347,145,348,348,449,145,50,72,55,12685,656,31210,24.6,10546,-395,27.7,5171,5375,7564,2325,85,50
"Martin, TX",4581,34.7,1456,1570,566,645,4447,2,100,9,1305,2,2,12,0,16,3,3,5,1,6,1,8,0,2248,5.7,8,1,11,27,5,27707,942,1,9,1639,1695,29.4,2086,1262,135,128,128,188,25,271,97,48,106,95,274,121,98,60,89,19,15716,181,40933,15.1,4799,53,5.2,2411,2388,2578,78,30,12
"Mason, TX",3965,49.3,851,929,889,1832,3890,3,113,9,810,2,1,19,5,29,6,2,7,4,11,0,11,0,2405,5.1,6,0,9,21,0,16229,634,0,0,1403,1429,36.2,864,1189,161,124,125,72,96,142,86,41,53,84,151,101,111,34,29,78,12761,117,36965,16.5,4012,274,4.3,1978,2034,3092,18,18,7
"Matagorda, TX",36978,38.4,9671,11477,4963,1380,37008,10,464,68,10533,15,10,37,27,144,24,12,46,34,51,1,68,1638,18352,11.3,198,1,405,1032,33,36523,7286,48,76,12716,13196,27.1,14074,9675,1437,1150,847,916,1123,705,801,641,668,956,1188,1634,836,468,451,228,14292,1737,38938,21.2,36702,-1255,33.4,18363,18339,17400,4200,258,719
"Maverick, TX",53203,30,18323,18917,5851,903,51300,11,610,205,9711,1,3,42,18,179,114,13,67,25,36,9,93,0,23306,15.2,271,1,413,1234,58,28073,14129,143,199,14138,15908,31.5,51914,12912,2037,1294,1449,1135,897,955,879,639,575,849,859,1168,384,196,80,263,9954,4044,27446,29.8,54258,6961,42.4,26451,27807,1552,135,642,177
"Medina, TX",44728,38.6,11865,15082,5914,1972,43654,14,495,12,1882,3,4,79,19,105,24,9,43,28,58,2,68,484,20358,7.4,100,2,207,509,28,23444,8925,64,324,15082,14804,26.2,22871,11802,1125,1042,848,689,737,863,551,735,681,1030,1283,1806,880,546,455,213,13029,1442,45278,17.6,46006,6702,34.7,23656,22350,21408,1012,331,296
"Menard, TX",2127,50.4,439,510,528,1089,2132,1,29,0,0,0,1,9,1,13,0,2,4,0,3,0,2,0,1062,7,3,0,1,7,0,12699,346,0,9,817,816,36.2,790,643,165,74,53,90,56,25,21,59,24,89,78,50,22,19,30,34,10624,121,29710,25.6,2242,-118,2.5,1133,1109,1425,13,18,3
"Midland, TX",132316,33.5,37529,49669,14853,869,126287,46,3656,394,54595,5,13,373,131,529,133,66,312,245,430,33,369,21162,77066,5.3,518,4,1066,2910,185,55483,23606,355,738,40685,44226,25.4,51600,35872,3079,2570,2217,2567,2665,2794,2068,2237,2232,3666,4840,5212,3811,1927,2123,2621,15341,4325,54949,12.5,136872,20863,152,67242,69630,72822,9087,1013,1715
"Milam, TX",24628,40.5,6552,7133,4085,1914,24780,9,295,3,561,4,8,32,12,63,15,9,27,13,31,0,39,449,11295,10.4,49,1,155,511,50,32954,4667,6,24,8539,8995,24.2,5780,6577,880,888,597,829,458,764,743,322,415,756,818,918,431,392,165,190,14379,1178,37245,18,24757,519,24.3,12225,12532,16216,2473,171,96
"Mills, TX",4994,45.7,1197,1219,1116,1685,5003,2,129,0,0,1,1,13,8,31,3,4,8,2,8,0,15,0,2383,6,3,0,11,22,1,19420,841,0,7,1909,1976,30.3,818,1397,143,152,191,168,149,153,67,66,91,180,173,161,96,9,29,33,12939,126,34557,19.4,4936,-215,6.6,2445,2491,4024,26,19,11
"Mitchell, TX",9347,35.4,1820,4123,1152,822,9275,3,122,1,91,5,3,9,3,30,8,4,5,2,7,0,7,0,3604,8.6,18,0,19,123,9,29553,1431,64,0,4444,2556,24.5,3481,1920,214,119,218,214,135,267,123,201,143,353,277,303,160,18,47,10,14248,385,34461,22.6,9403,-295,10.3,5746,3657,4753,1060,70,28
"Montague, TX",19568,43.6,4527,5728,3931,2060,19557,9,412,0,0,1,5,49,19,76,22,6,24,11,48,2,36,0,10428,7.2,30,1,140,317,31,25687,3293,13,22,7041,7720,24.6,1930,5548,770,682,469,436,452,631,405,420,396,687,1030,742,473,203,119,144,15510,622,42246,15.4,19719,602,21.2,9665,10054,17347,53,175,62
"Montgomery, TX",447718,36.1,125979,160968,45430,3789,411726,138,6196,2932,658784,12,34,866,375,1222,182,101,712,401,1152,90,860,42446,223875,7.6,1031,12,2855,6818,564,40743,84515,815,1296,140199,143551,25.1,94698,121472,6506,4889,6100,6258,6661,6499,5689,5947,5762,10747,13870,19481,12769,8502,8873,10705,16129,7015,65130,11.2,455746,161978,437.5,225911,229835,324611,19401,3348,9546
"Moore, TX",20736,30.7,6999,8026,2018,858,20106,8,246,12,1967,8,1,48,16,71,16,9,34,14,19,2,45,58,11732,4.9,72,0,106,451,33,42356,4851,39,32,6455,6421,35.9,11542,5473,277,445,380,602,559,640,265,542,235,594,795,706,316,120,139,80,13919,524,41820,11.6,21904,1783,24.3,11317,10587,8370,336,280,1337
"Morris, TX",12635,42.2,3013,3813,2401,2266,12852,8,180,0,0,1,2,17,16,35,19,5,19,9,11,0,23,0,6077,13,43,1,120,111,26,49247,2287,8,43,4446,4991,19.4,1003,3613,673,565,333,426,237,208,268,309,288,379,304,635,302,108,130,18,14185,573,35257,18.8,12934,-114,51.3,6239,6695,8636,2976,93,45
"Motley, TX",1282,49,264,274,328,595,1175,1,12,0,0,1,1,3,1,6,2,0,2,1,1,0,3,0,711,5.6,2,0,7,2,1,16464,177,6,0,477,470,31,163,355,91,42,25,46,16,35,33,19,28,32,33,41,14,19,6,2,12134,15,33357,20.7,1210,-216,1.2,613,597,1013,24,10,0
"Nacogdoches, TX",64117,29.8,15061,27562,7515,2421,62608,24,1034,250,22268,14,9,88,59,230,26,20,81,45,93,11,199,831,32122,6.9,213,2,492,1273,115,31850,10325,334,467,17813,18896,29.1,11356,15026,3658,1965,1974,1550,1497,1439,900,1087,878,1546,2137,1879,917,536,373,331,13870,2781,32648,25.8,64524,5321,68.2,30800,33724,39699,11731,365,797
"Navarro, TX",49440,37.1,12923,15621,6763,1612,48847,16,607,109,5819,7,13,81,61,174,31,14,72,38,54,4,102,1331,21849,9.1,134,2,589,1348,92,27402,9627,59,78,15853,17129,27,11345,12511,1465,1361,1257,1405,974,859,943,804,673,1645,1697,1577,738,236,364,365,13788,2067,38871,18.3,47735,2611,47.3,23657,24078,28587,6606,305,253
"Newton, TX",13667,40.7,3353,4672,2086,1878,13827,2,53,0,0,18,5,9,11,23,7,3,5,2,6,1,9,0,5889,13,15,2,41,112,5,28438,2185,22,56,5342,5125,22.8,403,3849,566,574,579,356,298,301,421,354,161,447,520,607,134,58,97,0,12446,1183,37319,20.4,14445,-627,15.5,7445,7000,10825,2901,80,62
"Nolan, TX",14917,39,3935,4776,2335,1027,14719,4,259,1,400,2,6,26,12,54,18,6,27,11,26,0,32,0,7883,6.9,150,0,104,285,19,30174,3064,37,96,5015,5235,22.2,5103,4021,486,487,625,404,416,360,394,324,295,575,582,432,238,139,80,108,14196,770,34149,17.6,15216,-586,16.7,7561,7655,9191,715,95,67
"Nueces, TX",323046,35.1,88255,122791,37483,1290,319703,85,3529,999,114369,10,28,526,194,1108,261,125,574,425,771,83,1016,26113,169000,7.6,2402,19,4035,14719,729,44725,61260,889,1591,104872,110632,22.8,206293,85270,11828,9078,7007,8226,6751,6932,5944,5601,4956,9291,11049,12748,7407,4093,3383,2602,12986,16772,41009,19.9,340223,26578,405.8,167038,173185,111870,13637,2128,5731
"Ochiltree, TX",9791,31.8,3231,3625,995,812,9454,3,327,1,225,1,2,30,9,42,14,8,23,16,22,0,19,0,5600,5.1,11,0,27,63,8,46725,2239,14,13,3168,2987,33.6,4982,2699,229,312,162,290,172,126,111,140,195,266,462,346,269,98,91,68,12993,262,55032,12.1,10223,1217,11.1,5237,4986,5062,39,98,28
"Oldham, TX",2118,34.4,698,559,258,326,2089,1,16,4,512,0,2,0,1,8,1,2,1,0,0,0,2,0,927,6,4,0,11,14,1,29237,826,0,0,632,750,32.2,243,516,54,63,40,52,30,21,46,58,47,80,147,66,27,12,14,15,15021,35,40731,13.6,2052,-133,1.4,1035,1017,1699,62,13,17
"Orange, TX",81816,38.6,20507,27260,11258,2534,82521,20,832,226,28356,4,9,117,86,262,58,15,96,58,83,16,144,950,42059,10.8,389,1,857,1546,261,37800,15152,189,172,28854,30410,17.9,4766,22547,2909,2416,2164,1757,1883,1780,1832,1512,1439,2474,3536,3997,2576,1227,911,377,15763,4958,45532,15.6,81837,-3129,245.3,40708,41129,67895,6979,426,804
"Palo Pinto, TX",27567,40.3,7031,8577,4241,1938,27451,17,438,96,6379,1,12,55,33,116,25,5,36,21,42,1,57,1965,14242,7.9,95,2,201,503,46,33741,4926,244,44,9497,10219,26.9,4985,7602,884,852,724,757,815,674,620,573,509,863,1069,1074,591,153,108,208,14010,845,40141,17,28111,1085,29.5,13811,14300,21958,621,202,134
"Panola, TX",23310,38.9,5870,7654,3694,1986,23107,5,559,10,1159,0,12,44,16,81,24,9,25,27,35,3,40,0,13835,7.3,49,1,89,257,61,36752,3904,5,30,8099,8903,24,1970,6603,926,629,601,455,519,475,597,608,430,599,783,1272,319,216,116,169,13534,838,46456,13.2,23796,1040,29.7,11808,11988,17521,3867,105,73
"Parker, TX",114919,38.9,29869,38814,13094,3648,108324,27,1143,147,25357,10,6,335,123,297,95,27,123,88,188,10,190,3371,55098,7.7,149,2,581,1512,114,26667,19241,168,215,39132,37563,24.8,12410,32024,2392,1583,1602,1476,1489,1435,1518,1408,1477,2701,4094,5498,3314,1772,1790,1506,15709,2270,62049,9.9,116927,28432,129.4,59292,57635,99698,1915,909,639
"Parmer, TX",9290,31.9,3214,3513,1237,1019,9398,5,195,0,0,7,1,22,2,28,17,5,15,4,15,1,11,184,4673,4.7,15,0,39,80,3,33215,2383,43,15,3156,3176,36.2,6164,2653,310,188,339,201,230,302,200,183,144,290,267,292,196,39,52,51,13908,308,36665,16.9,10269,253,11.7,5259,5010,3943,119,100,25
"Pecos, TX",16248,36.6,3822,5789,1823,271,15901,5,202,6,645,3,7,21,6,67,16,9,18,7,17,0,17,417,9067,6.7,27,1,133,170,15,31824,3037,34,0,6608,5068,33.2,10430,3615,588,383,433,384,587,360,284,178,251,490,541,450,139,74,114,97,12257,562,37535,19.7,15507,-1302,3.3,8742,6765,4326,572,125,79
"Polk, TX",46530,42.9,9577,14373,9304,2297,46326,10,527,346,59746,25,14,70,27,109,28,18,37,30,63,5,61,205,18402,9.9,99,1,315,751,78,29048,6944,20,59,18441,17482,26,5959,11405,2253,1504,1776,1281,1157,1390,1232,711,650,1181,1360,1241,635,234,198,134,15354,2335,36467,22.6,45413,4280,43,24288,21125,32830,5211,881,188
"Potter, TX",121816,33,33653,45615,14995,662,120797,38,3018,855,176825,5,10,302,125,570,120,50,294,176,287,22,464,12871,58035,6.5,857,9,1447,4239,437,39823,34552,350,325,41959,40774,25.8,42692,28497,4653,3373,3600,3075,3391,3361,2394,2515,1633,3715,3347,3815,1474,1021,651,686,13800,4946,35563,23.1,121073,7527,133.3,61919,59154,59322,12365,1004,4822
"Presidio, TX",7470,38.5,2264,2283,1239,416,7536,3,85,2,341,0,3,15,2,34,9,2,6,1,5,0,3,1413,3960,17.3,9,0,19,33,1,25900,1719,30,18,2522,2800,40.8,6521,1996,632,302,249,149,81,221,121,128,116,240,214,109,111,43,30,54,10443,886,28636,23.6,7818,514,2,3818,4000,1136,47,57,76
"Rains, TX",11287,45.8,2363,2990,2316,2422,11104,5,137,0,0,0,2,20,7,31,4,3,10,4,7,0,6,0,5134,9.2,22,3,41,81,7,20971,2468,38,58,4316,4233,29,839,3157,429,160,258,380,293,190,141,198,246,391,310,366,182,75,137,27,15497,215,42000,15.8,10914,1775,47.6,5485,5429,9553,256,113,55
"Randall, TX",116483,35.3,30103,44514,11563,1146,112802,29,1262,71,12929,8,6,293,68,313,75,37,201,128,191,24,233,5312,69539,5,682,6,1151,3404,362,32864,8820,810,1011,36578,37080,21.4,19775,32830,2813,2045,2002,2486,2178,2146,2095,1813,1903,3752,4656,6262,3569,1650,1549,1519,15730,2368,54323,8.9,120725,16413,132.4,58737,61988,94361,2867,822,1684
"Reagan, TX",3014,33.5,1010,1151,310,502,2982,2,55,0,0,0,2,10,0,13,4,1,4,1,6,0,4,0,2536,4.1,1,0,6,13,1,43618,807,4,3,1081,1009,38.5,2051,885,70,15,27,80,28,26,153,59,63,186,155,175,59,22,82,0,11692,44,54309,9.5,3367,41,2.9,1748,1619,1219,70,20,6
"Real, TX",2925,50.5,660,734,756,1080,2966,3,62,0,0,0,1,11,4,13,2,0,1,3,5,0,12,377,1559,5.8,2,1,4,3,0,13849,366,27,20,1091,1158,33.1,814,977,135,123,95,146,77,64,77,57,35,115,89,51,39,0,17,24,12805,170,28823,22,3309,262,4.7,1638,1671,2398,22,37,2
"Red River, TX",12765,45.1,2747,3662,2483,1329,13076,6,146,11,846,3,3,10,15,38,9,4,19,7,6,1,17,0,5968,11,8,0,41,97,11,22121,2478,36,39,4621,5116,21.2,849,3615,519,471,533,286,280,301,503,356,220,406,560,465,255,33,49,60,12988,578,33191,19.1,12860,-1454,12.4,6266,6594,9503,2233,125,23
"Reeves, TX",11046,35.4,3142,5711,1659,315,11100,2,151,1,180,1,4,8,5,31,13,7,14,7,13,1,12,0,4777,10.9,20,2,61,146,15,30826,2385,43,6,4173,3637,25.3,10233,2767,644,409,281,231,183,247,207,226,169,247,491,307,190,50,12,17,13071,624,31568,27.4,13783,646,5.2,8281,5502,2690,690,64,119
"Refugio, TX",7225,43,1781,2086,1305,732,7364,4,98,3,381,1,1,10,3,21,7,1,9,10,4,0,8,0,4219,6.9,16,0,24,76,9,27521,1481,13,35,2767,2759,24.2,3487,2016,253,215,252,240,271,65,105,172,105,338,222,189,264,33,31,42,13669,403,36920,17.2,7383,-445,9.6,3669,3714,3337,483,42,33
"Roberts, TX",878,41.3,236,277,142,673,913,1,13,0,0,0,0,2,1,2,1,0,0,0,1,0,0,0,571,4.7,2,0,1,17,0,13541,162,0,1,316,356,28,74,281,18,30,8,32,21,7,12,26,4,35,38,66,37,4,13,22,14879,28,63082,6.6,929,42,1,469,460,841,1,3,2
"Robertson, TX",15706,40.4,4213,5053,2535,2015,15830,7,327,6,696,5,7,16,6,52,13,3,17,7,15,0,18,171,7424,8.6,72,3,100,227,34,28132,3285,36,8,5339,5977,24.3,2990,4551,713,489,477,435,475,337,283,256,252,580,509,591,238,112,225,194,13490,1009,37261,20.2,16622,622,19.4,8230,8392,9821,3586,96,103
"Rockwall, TX",81391,35.9,23507,27000,7625,4513,72814,23,970,613,107347,0,6,206,59,231,41,22,124,68,179,26,192,5659,40033,7.6,160,1,306,1373,122,32242,17820,303,401,23993,24150,21.5,12470,21337,617,431,333,585,489,743,809,701,1063,1918,3117,4100,2967,1929,1740,1571,16661,843,77924,6.6,78337,35257,616.7,38516,39821,58046,4521,472,1897
"Runnels, TX",10170,42.3,2632,2948,2020,1127,10376,7,184,1,200,2,4,19,14,52,14,7,22,3,13,1,20,0,4605,9,11,0,36,80,3,25774,2118,0,7,3647,4103,25.6,3361,2914,482,261,277,259,225,377,298,191,175,342,264,320,330,119,40,78,12895,445,34808,16,10501,-994,10,5197,5304,6841,192,71,21
"Rusk, TX",49180,38.6,12379,18796,7206,2047,48444,13,727,0,0,13,19,77,35,119,38,11,58,29,65,2,71,763,24765,7.6,229,2,412,1041,135,38337,7696,21,60,18257,16990,25.5,7609,13333,1339,1224,1209,1415,1216,762,763,1062,790,1638,1942,1981,1042,407,348,483,14468,1141,43133,16.4,53330,5958,57.7,28075,25255,35237,9435,290,214
"Sabine, TX",10208,50.5,2120,2476,2721,2561,10177,5,156,5,310,4,3,10,4,34,5,5,8,4,9,1,12,0,3591,16.3,35,0,48,58,9,39863,2094,16,0,3885,4093,21.1,344,3235,486,368,391,384,359,361,200,287,171,306,368,229,214,75,78,7,14862,583,34779,19.2,10834,365,22,5301,5533,9484,784,56,33
"San Augustine, TX",8574,47.1,1866,2309,2056,1986,8693,5,130,0,0,7,2,11,4,28,3,3,10,3,9,0,23,0,3728,11.1,38,1,50,80,14,26795,1326,33,0,2970,3598,21.6,532,2477,723,502,358,152,398,83,259,207,175,258,209,260,102,15,66,31,12418,539,29490,26.3,8865,-81,16.7,4360,4505,6183,2016,35,23
"San Jacinto, TX",24902,43,6326,7470,4113,2627,24645,4,117,2,70,2,6,30,9,24,7,6,6,8,19,1,10,0,10358,10.4,55,0,226,271,92,20355,3449,44,26,9275,9453,26.7,2880,7195,861,614,745,453,520,470,312,535,421,586,898,1102,334,203,230,117,14107,1037,40305,20.6,26384,4138,46.3,13205,13179,20204,2710,164,123
"San Patricio, TX",68223,36.1,18275,21342,8838,1239,68392,25,480,126,15674,5,10,88,33,165,24,11,79,63,88,6,95,1637,31569,10.3,175,0,544,1525,81,40514,14870,66,215,22638,23561,21.8,35248,16939,2132,1380,1392,1767,1350,1755,1018,1336,992,1954,2576,2781,1618,669,526,432,13837,3368,45152,16.3,64804,-2334,93.5,32163,32641,27330,1071,386,537
